[['O', 'X', 'O'], ['X', None, 'O'], ['X', 'O', 'X']]@0@O
[['X', 'O', 'X'], ['O', None, 'X'], ['O', 'X', 'O']]@0@O
[['X', 'O', 'O'], ['O', None, 'X'], ['X', 'X', 'O']]@0@O
[['O', 'X', 'O'], ['O', None, 'X'], ['X', 'O', 'X']]@0@O
[['X', 'O', 'X'], ['X', None, 'O'], ['O', 'X', 'O']]@0@O
[['O', 'X', 'X'], ['X', None, 'O'], ['O', 'O', 'X']]@0@O
[['O', 'O', 'X'], ['X', None, 'O'], ['O', 'X', 'X']]@0@O
[['O', 'X', None], ['O', None, 'X'], ['X', 'O', 'X']]@0@O
[[None, 'X', 'O'], ['X', None, 'O'], ['X', 'O', 'X']]@0@O
[[None, 'X', 'X'], ['X', None, 'O'], ['O', 'O', 'X']]@0@O
[['X', 'O', 'O'], ['O', None, 'X'], ['X', 'X', None]]@0@O
[['X', 'O', 'X'], ['O', None, 'X'], ['O', 'X', None]]@0@O
[['O', 'O', 'X'], ['X', None, 'O'], [None, 'X', 'X']]@0@O
[['X', 'X', None], ['O', None, 'X'], ['X', 'O', 'O']]@0@O
[['X', 'O', 'X'], ['X', None, 'O'], [None, 'X', 'O']]@0@O
[['O', 'O', 'X'], [None, None, 'O'], ['X', 'X', 'X']]@-10@O
[['X', 'X', 'X'], [None, None, 'O'], ['O', 'O', 'X']]@-10@O
[['X', 'O', 'O'], ['O', None, None], ['X', 'X', 'X']]@-10@O
[['O', None, 'X'], ['O', None, 'X'], ['X', 'O', 'X']]@-10@O
[['X', None, 'O'], ['X', None, 'O'], ['X', 'O', 'X']]@-10@O
[['X', 'X', 'X'], ['O', None, None], ['X', 'O', 'O']]@-10@O
[['X', 'O', 'X'], ['X', None, 'O'], ['X', None, 'O']]@-10@O
[['X', 'O', 'X'], ['O', None, 'X'], ['O', None, 'X']]@-10@O
[[None, 'X', 'X'], [None, None, 'O'], ['O', 'O', 'X']]@-10@O
[['X', 'O', 'X'], ['X', None, 'O'], [None, None, 'O']]@-10@O
[['O', 'O', 'X'], [None, None, 'O'], [None, 'X', 'X']]@-10@O
[['X', 'O', 'X'], ['O', None, 'X'], ['O', None, None]]@-10@O
